gene1,gene2,p_value,statistic,depletion_p_value,q_value,SR_DD_p_value,SR_DD_q_value,depletion_q_value,SR_DD_depletion_p_value,SR_DD_depletion_q_value,survival_coef,survival_p_value,phylo_coefficient
FLT3,ZNF814,1.8450838011899404e-4,63543,0.9486711702835233,0.9967862594745788,0.999815491619881,0.9999927840294578,1,0.051328829716476676,0.8123335280733143,-0.029847696086018668,0.6305943519004935,25.019203168798285
XPO1,TSPYL1,1.847942547989802e-4,63542,0.14145279622321216,0.9967862594745788,0.999815205745201,0.9999927840294578,1,0.8585472037767878,0.9777551695424258,-0.015626162989199204,0.7984993454353061,15.436797557940576
PDGFRB,AMY2A,1.8608529446688588e-4,76944,0.10617438072484954,0.9967862594745788,0.9998139147055332,0.9999927840294578,1,0.8938256192751505,0.9833411680729301,0.11231723040755931,0.05357377060437706,13.994989747826885
EGFR,LIN37,1.9059943801501934e-4,63522,0.06607818819498787,0.9967862594745788,0.999809400561985,0.9999924741890629,1,0.9339218118050121,0.9885205697436314,-0.010459014955890954,0.8686950955917087,22.51256913746072
PIK3CA,CCDC150,1.9566740566315032e-4,63505,0.4530811620826625,0.9967862594745788,0.9998043325943369,0.99998933273105,1,0.5469188379173375,0.9386623118950987,-0.01707797934593897,0.7800285273531972,20.867371638549105
BRAF,ENHO,2.0007067625800305e-4,63861,0.7971463232423674,0.9967862594745788,0.999799929323742,0.9999868560822545,1,0.20285367675763255,0.8708973625487143,-0.07204507842000207,0.23933568415394962,9999999
FLT1,COPS7B,2.0341137801606918e-4,63665,0.09856733241724863,0.9967862594745788,0.999796588621984,0.9999854421934592,1,0.9014326675827513,0.9853083314338412,0.06796387346162104,0.2626243966288709,12.715421520964725
HRAS,DRC7,2.0657263791320213e-4,81458,0.4160983973985347,0.9967862594745788,0.9997934273620868,0.9999842077753155,1,0.5839016026014653,0.9386623118950987,0,1,9999999
ERBB2,FLVCR2,2.091134318678545e-4,64577,0.8773617582230087,0.9967862594745788,0.9997908865681322,0.9999835939379491,1,0.12263824177699134,0.8533599129819417,-0.0830052810516677,0.18687952197898655,16.76257177436087
NRAS,IDS,2.1071210894802345e-4,63642,0.5099065011427081,0.9967862594745788,0.9997892878910519,0.9999835939379491,1,0.4900934988572919,0.9293794796687685,-0.09934499874158502,0.11490329456715204,22.308832732354038
AKT2,GATAD2B,2.116370290726736e-4,63454,0.6913184070794791,0.9967862594745788,0.9997883629709273,0.9999835939379491,1,0.3086815929205209,0.8902374601031635,0.005237849469428667,0.9319764164227331,17.926206403147837
HRAS,CBY2,2.1596010406559285e-4,104079,0.5125531701795779,0.9967862594745788,0.9997840398959345,0.9999825282753204,1,0.4874468298204221,0.9293794796687685,0,1,9999999
FLT3,EFCAB7,2.175581878356998e-4,63436,0.36245688484278704,0.9967862594745788,0.9997824418121642,0.9999825282753204,1,0.637543115157213,0.9468708297243832,-0.03389390919149879,0.5876860923211167,23.457413755678985
PDCD1,NPC2,2.1789163359787242e-4,63435,0.897188835670611,0.9967862594745788,0.9997821083664021,0.9999825282753204,1,0.10281116432938897,0.8461280633151107,0.03138681912348199,0.6003658737273141,22.25841647360991
PIK3CA,FAM91A1,2.2114532179428895e-4,63796,0.7078754622429932,0.9967862594745788,0.9997788546782057,0.9999825282753204,1,0.29212453775700675,0.8902374601031635,-0.05207158678877152,0.39254315892838465,20.77942494104859
PDGFRB,CHRFAM7A,2.2275571372872043e-4,64348,0.8085947722357505,0.9967862594745788,0.9997772442862712,0.9999825282753204,1,0.1914052277642495,0.8708973625487143,0.018929143724899327,0.7579249018124544,17.47988757731836
AKT3,SPDYE6,2.2723234258316082e-4,65077,0.010558727882851995,0.9967862594745788,0.9997727676574168,0.9999825282753204,1,0.989441272117148,0.9980111384597438,-0.038220356931597206,0.5400851544961662,23.814197274743133
PIK3CA,C19orf67,2.405457675308738e-4,114282,0.010944412732677605,0.9967862594745788,0.9997594542324691,0.9999714297606861,1,0.9890555872673223,0.997972529227073,0,1,18.07811900401341
KDR,SDF2L1,2.4319324600350996e-4,63363,0.13346816361739627,0.9967862594745788,0.9997568067539965,0.9999714297606861,1,0.8665318363826038,0.979524792440725,-0.02706877941182562,0.6593382335134449,18.294406578311765
NRAS,CEACAM3,2.4379418808184917e-4,93639,0.8698966247807727,0.9967862594745788,0.9997562058119182,0.9999714297606861,1,0.13010337521922732,0.8533599129819417,-0.016160269129253092,0.7908263527710534,19.036070352732832
AKT1,PTPN5,2.459951751873494e-4,141618,0.8019740116519182,0.9967862594745788,0.9997540048248127,0.9999714297606861,1,0.19802598834808183,0.8708973625487143,-0.015682507243060122,0.7981853606480909,16.516167147437205
AKT1,PDZD3,2.503813071184249e-4,101648,0.0739431695063521,0.9967862594745788,0.9997496186928816,0.9999712294279841,1,0.9260568304936478,0.9885205697436314,0.11169442589822644,0.05950198523452377,12.9678231043079
FLT4,LSM4,2.5107365320521836e-4,63342,0.1550014702010186,0.9967862594745788,0.9997489263467948,0.9999712294279841,1,0.8449985297989814,0.9777551695424258,-0.05477740421932751,0.388431593569512,13.594605366241248
FGFR1,PEPD,2.5413784745225923e-4,63334,0.8228761396380059,0.9967862594745788,0.9997458621525478,0.9999712294279841,1,0.17712386036199412,0.8609464973397819,0.044753437646178694,0.45329544112407416,19.20471122393131
PIK3CA,STIM1,2.5452331353150224e-4,63333,0.5099065011427081,0.9967862594745788,0.9997454766864685,0.9999712294279841,1,0.4900934988572919,0.9293794796687685,-0.049179350390228777,0.4268384226027605,22.36931660064322
ERBB2,MARCHF1,2.566080697934606e-4,64067,0.8101901941212408,0.9967862594745788,0.9997433919302066,0.9999712294279841,1,0.18980980587875917,0.8708973625487143,0,1,9999999
FLT1,CR1L,2.602501565006354e-4,115449,0.43073049302498667,0.9967862594745788,0.9997397498434993,0.9999712294279841,1,0.5692695069750133,0.9386623118950987,-0.0043125151746316965,0.943035384167942,9999999
FLT3,PSMB6,2.6433893017455444e-4,63308,0.1781224098680114,0.9967862594745788,0.9997356610698255,0.9999712294279841,1,0.8218775901319886,0.9727042094281095,0.04544231048183265,0.45851198758947387,13.535539247519862
FLT4,STAU2,2.6998862373055427e-4,63294,0.27844860451326037,0.9967862594745788,0.9997300113762695,0.9999708086937209,1,0.7215513954867396,0.9602787300165485,-0.033655950818101084,0.5800448317489371,19.480218593495493
EGFR,ERCC2,2.7275746597511124e-4,63472,0.14145279622321216,0.9967862594745788,0.9997272425340249,0.9999700505314484,1,0.8585472037767878,0.9777551695424258,-0.14652216578227592,0.02193401886721796,26.978923289829876
KIT,TMBIM6,2.7533531315680385e-4,63281,0.07434970807800757,0.9967862594745788,0.9997246646868432,0.999969399572548,1,0.9256502919219924,0.9885205697436314,-0.07931806508165867,0.20529540275292155,18.82124800570088
FGFR1,IFT80,2.785612141895774e-4,63458,0.8573426133535527,0.9967862594745788,0.9997214387858104,0.999969399572548,1,0.14265738664644734,0.8533599129819417,0.09979276993559241,0.09031460766001081,18.581702146239458
PDCD1,POTEB2,2.7861632285639963e-4,15461,0.01600490163857337,0.9967862594745788,0.9997213836771436,0.999969399572548,1,0.9839950983614266,0.9970182548203803,0,1,9999999
FNTB,COX14,2.7909446822109966e-4,63272,0.5849449637317603,0.9967862594745788,0.999720905531779,0.999969399572548,1,0.4150550362682397,0.9121817716284171,0,1,9999999
KDR,LNPK,2.8054147126762425e-4,63638,0.02815019380350268,0.9967862594745788,0.9997194585287323,0.999969399572548,1,0.9718498061964973,0.994775416199484,0,1,9999999
ERBB2,COG5,2.8192907686298775e-4,63450,0.11168486018185775,0.9967862594745788,0.999718070923137,0.999969399572548,1,0.8883151398181423,0.9816559378009114,-0.014381163519047358,0.8152886324976312,20.234712953605843
