gene1,gene2,p_value,statistic,depletion_p_value,q_value,SR_DD_p_value,SR_DD_q_value,depletion_q_value,SR_DD_depletion_p_value,SR_DD_depletion_q_value,survival_coef,survival_p_value,survival_q_value,phylo_coefficient
EGFR,PIAS2,3.244446862401707e-27,81209,1.2144448850315867e-11,2.004372922350883e-23,1,1,4.016933197260595e-9,0.9999999999878556,1,-0.23286165692777339,1.1769185162073004e-4,3.962869883178671e-4,2.378166328505721
EGFR,USP48,3.244446862401707e-27,81209,2.4622914537889887e-10,2.004372922350883e-23,1,1,5.6442049863008415e-8,0.9999999997537709,1,-0.2771366381927999,1.6755899109130775e-6,8.046277288519109e-6,3.796971344580776
EGFR,ZNF100,3.3655730027283386e-27,81426,3.3951900434792245e-11,2.0547417106304046e-23,1,1,9.9773023289597e-9,0.999999999966048,1,-0.01207597305385379,1.5386295850345962e-8,1.071222975190246e-7,8.615208031161234
EGFR,SFPQ,5.0351278030005406e-27,81109,1.4400861150101542e-12,2.951573866392351e-23,1,1,6.301493852010748e-10,0.99999999999856,1,-0.3148980476148232,1.0235283008632687e-5,4.242272006404284e-5,3.1546253182419126
EGFR,BCOR,5.0620509906524686e-27,81558,4.616019318029032e-20,2.951573866392351e-23,1,1,1.545523675754563e-16,1,1,-0.13295880349277744,0.00350344731500869,0.00865043741394976,6.7343110408497635
EGFR,SYNGAP1,5.435100577884356e-27,81768,5.199762240780655e-11,3.133878993208119e-23,1,1,1.4705749377717788e-8,0.9999999999480024,1,-0.25848668187705864,4.0723431799591794e-12,5.3200649205597674e-11,6.2113477800190005
EGFR,HAUS1,6.1061549340561424e-27,81065,1.4832966427252242e-14,3.482118726900104e-23,1,1,1.173448184123752e-11,0.9999999999999852,1,-0.17123336363983863,0.00114970844953244,0.00315338809201812,7.252495619164245
EGFR,PARP1,9.161861543278008e-27,81197,6.88121812037736e-18,5.004690978177568e-23,1,1,1.301844658568542e-14,1,1,-0.31462486834948555,1.909259685183989e-6,9.07714656755158e-6,4.534573498042909
EGFR,PRKAR2B,1.0822327924550971e-26,80934,4.00206632674888e-9,5.730753931802532e-23,1,1,6.384692146922489e-7,0.9999999959979337,1,-0.0011031309438255367,0.5706525209320861,0.7603473835307872,9.938988745581849
EGFR,INPP5B,1.148752502431132e-26,81145,3.4814423283507835e-21,6.021551753652643e-23,1,1,1.5056280673476846e-17,1,1,-0.2494306984962273,4.4426522333886235e-12,5.7671016241937286e-11,2.8102387847345796
EGFR,ST3GAL3,1.5395550339884635e-26,80853,9.474177084265293e-6,7.989366893379734e-23,1,1,5.230066225816301e-4,0.9999905258229156,1,-0.24973684984375133,1.2426193480066858e-10,1.250017525762348e-9,2.6841273357391797
EGFR,MAZ,1.5802125427011706e-26,80847,6.88121812037736e-18,8.119163335736096e-23,1,1,1.301844658568542e-14,1,1,-0.3329775240107289,1.7808483151114406e-5,7.043075362595927e-5,7.36485650017249
EGFR,ATG4C,1.704866928589185e-26,81054,3.1199220282515346e-12,8.673761214922271e-23,1,1,1.261009793797207e-9,0.99999999999688,1,-0.1434971458578816,5.986206723932286e-10,5.343440226562221e-9,3.2054069129346425
EGFR,BCL2,1.7767449999555948e-26,80820,4.245280277557708e-19,8.934920700697045e-23,1,1,1.1015801849016454e-15,1,1,-0.11392814601638591,0.5144283302385447,0.6979462503151519,3.811208542599854
