index,PIK3CA-0001,PIK3CA-0002,PIK3CA-0003,PIK3CA-0004,PIK3CA-0036,PIK3CA-0047,PIK3CA-1020,PIK3CA-1033,PIK3CA-1038,PIK3CA-1045,PIK3CA-1052,PIK3CA-1268,PIK3CA-1458,PIK3CA-1588,PIK3CA-2179,PIK3CA-1039,PIK3CA-1676,PIK3CA-1035,PIK3CA-1113
MTMR14,8,51.32,12.61,13.78,3,7.02,16.42,9.36,4.08,5.39,10.47,4.63,1.67,7.89,3.1,0.967521919,3.188603617,5.99672631,4.704630359
MTMR2,3.83,0,4.7,6.51,1.46,24.88,2.6,2.31,2.18,4.2,2.88,4.21,4.64,3.04,3.35,0,1.163959161,3.372968126,1.206797326
MTMR3,22.25,0,9.42,8.09,4.71,10.98,5.88,3.69,21.91,10.48,17.6,8.91,6.25,11.49,8.03,0,1.108783175,1.709121755,0.967203673
MTMR4,2.23,0,7.38,8.82,2.57,3.93,7.31,4.16,1.62,7.97,9.29,7.12,3.84,12.31,7.87,3.895327379,6.207188999,12.46896628,11.36475055
MTMR6,3.19,0,0.78,3.17,1.09,1.21,0,1.61,0,1.71,0,2.38,0.45,1.32,0.64,1.007702792,3.029067026,3.715836904,2.847304349
MTMR7,18.84,0,2.73,0.21,1.27,3.61,0.33,0.57,0,0.55,0,1.32,1.44,1.17,1.42,0,0.487074719,0.527586395,0.110468955
MTMR8,2.98,0,0,4.62,0.57,0,0,1.02,0,2.2,0,0,0,0.48,0,6.232801747,0.376210049,0.81500146,1.228676472
MTMR9,3.53,0,3.45,3.22,1.46,3.27,1.16,1.91,1.33,4.61,0.64,1.48,20.4,4.08,0.88,1.385891107,2.208412079,2.663922073,1.730277193
MTMR9LP,16.65,0,3.22,1.54,1.71,10.51,0,12.2,0,1.24,0,1.43,11.53,4.31,1.4,0,1.638222604,1.697327931,8.012562174
MTND1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098292833,0
MTND1P11,0,0,1.35,7.35,1.59,6.77,0,0,0,2.38,0,2.6,5.14,2.45,0.4,0,0.722271759,4.172509757,1.31049473
MTND1P12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923746604,3.222437568
MTND1P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P16,0,0,0,0,0.39,0,0,0,0,0,0,0,6.66,0,0.39,0,0,4.579073904,0
MTND1P17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79736443,0
MTND1P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4873474,0,0,0
MTND1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P21,0,0,7.99,0,0,0,0,0,0,0,0,8.07,0,0,0,0,3.700058833,8.01561085,1.34268232
MTND1P22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480430934,0
MTND1P23,23.85,144.9,9.03,16.24,9.62,36.66,52.2,205.4,9.74,20.03,0,19.59,7.86,33.84,14.81,2379.500521,434.8464305,1066.076243,410.4384947
MTND1P24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530650196,0
MTND1P26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685864564,0,4.355530453
MTND1P27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233817465,0,0
MTND1P28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480936651,0
MTND1P29,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P3,6.43,0,0,1.9,0,0,0,0,0,0,0,0,0,0,2.17,0,0.886148544,0,0
MTND1P30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0.234076974,0,0
MTND1P31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P32,0,0,1.86,0.97,1.1,1.24,0,2.14,0,0,0,0.4,0,2.26,2.21,0,0.449687321,6.819251022,0
MTND1P33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628624004,0,0
MTND1P35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P36,0,0,1.25,0,1.48,22.47,0,0,1.8,0,0,0.8,1.58,0,0.37,0,0.675972287,11.2269934,1.226488658
MTND1P4,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P6,0,0,0,0,0,0,0,0.53,0,0,0,0.79,0,0,0,0,0,0,0
MTND1P8,3.69,0,9.79,2.86,1.09,4.9,3.04,5.79,0,1.73,0,0.39,0,0,2.54,0,1.77602824,5.771239812,0.402804696
MTND1P9,0,0,1.85,0.48,0,6.18,1.53,1.59,3.56,0.44,0,2.77,0,0.75,2.56,0,4.244876818,7.743895228,0
MTND2P11,4.46,0,1.99,0,0,0,0,1.69,0,0,0,0.64,0,0,0,0,0.650936276,4.935538162,0
MTND2P12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82463985,0.611285082
MTND2P13,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.473202931
MTND2P14,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,1.4,0,0,7.810082367,0
MTND2P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P16,0,0,0,0,0,0,37.57,1.3,0,0,0,10.72,0,0,3.12,21.86551101,10.55836563,0.571827057,0
MTND2P17,0,0,0,0,0,0,0,0,0,0,0,0,20.88,0,1.61,0,0,0,0
MTND2P18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0.443582348,0
MTND2P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P2,0,0,0.62,0,0,0,0,0.53,0,0.87,0,0,0,3.73,0.73,0,0.669534456,5.801775472,0
MTND2P20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202402451,0,0
MTND2P22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P23,0,0,0,0,0,0,0,0,1.43,0,0,3.2,0,2.34,2.3,0,7.775238839,8.421932137,0
MTND2P24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523333383,0,0
MTND2P25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P26,0,0,0,0.43,0,3.34,0,0,0.8,0,0,0.36,0,0,0.66,0,0.614878582,3.108094003,0
MTND2P28,72.2,120.32,74.37,35.94,28.04,633.86,68.69,13.08,98.75,17.88,0,192.03,64.24,63.16,82.77,1706.892161,390.8984569,1388.174812,370.9352823
MTND2P29,28.61,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511901343,4.43582348,0
MTND2P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P31,6.37,0,0,1.64,0,0,0,0.9,0,0,0,0,0,5.02,3.71,0,2.396629017,2.966817003,0
MTND2P32,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0.880327203,0.737311101
MTND2P33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443152103,0
MTND2P38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316196932,0,0
MTND2P39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45506954,0
MTND2P40,0,0,0.71,0,0,0,33.51,0.61,0,0,0,1.83,35.14,0,2.09,0,0.501553754,7.062506112,0.9100225
MTND2P5,0,0,0,5.78,0,0,0,0,0,0,0,0.73,8.71,0.69,0.34,0,0.838581922,0.454164829,0
MTND2P6,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204760537,0.443582348,0
MTND2P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P8,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P9,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0.453068429,0.490751685,0
MTND3P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND3P10,0,0,0,2.03,0,0,0,0,0,1.76,0,1.82,0,0,0,0,0,0,0
MTND3P12,0,0,0,2.17,0,0,20.81,0,0,0,0,0,0,0,0,0,0,11.14365411,3.499979828
MTND3P13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND3P16,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND3P17,0,0,0,0,0,0,0,0,26.91,0,0,0,0,0,0,0,0,0,0
MTND3P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND3P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND3P20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND3P21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.140995333,0
MTND3P22,0,0,5.93,0,0,0,0,0,0,0,0,0,0,5.42,0,23.96507997,5.20749021,3.760410028,11.02325608
MTND3P23,0,0,0,5.89,0,0,0,8.44,0,1.71,0,0,0,0,0,0,5.470115797,2.633370711,2.205558854
MTND3P24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND3P25,0,0,0,23.71,0,0,0,22.14,0,0,0,0,0,0,0,0,17.18471769,37.22805928,0
MTND3P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND3P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.539435948,1.262919014
MTND3P5,0,0,0,2.11,0,0,0,0,0,3.66,0,0,0,0,0,0,0.633343404,0,0
MTND3P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.257607441
MTND3P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND3P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3570173,0,0,0
MTND3P9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.2773458,1.343333462,2.910126232,17.06147279
MTND4LP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36665879
MTND4LP12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.548779046,0
MTND4LP13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.568217861
MTND4LP14,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0
MTND4LP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724753792,0,0
MTND4LP25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,6.730958091,55.08600648,0
MTND4LP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP30,0,0,7.51,0,3.43,0,0,16.88,0,0,0,12.26,86.48,0,0,117.6467562,11.36179682,32.3053407,14.17275782
MTND4LP31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4LP7,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,4.662141005,1.3015798
MTND4LP9,0,0,0,0,5.05,36.07,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P1,0,0,0,0,0,0,0,0,0,0,0,8.47,0,0,0,0,0,0,0
MTND4P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.154734669,0,0
MTND4P11,0,0,0.54,0,0,3.23,0,0,0,0,0,0,0,0,0.32,0,0.398683088,1.727371714,0.361686636
MTND4P12,24.96,60.66,7.57,5.99,4.59,20.72,7.01,9.92,22.59,4.38,0,10.37,33.45,8.82,16.95,592.0784463,56.6697464,220.3157875,98.65351034
MTND4P13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P14,0.61,0,0.4,5.05,0.49,6.45,0,3.85,23.32,1.73,0,0.26,2.58,0.99,0,0,1.0903423,1.012311267,0
MTND4P15,0,0,1.11,0.86,0.66,3.32,1.38,0.48,0,0.79,0,1.06,0,1.35,1.31,0,2.245824674,2.653764676,0
MTND4P16,0,0,0.4,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.154281897,2.339596729,0
MTND4P17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982558749,0
MTND4P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P2,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P20,0,277.65,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0.242696609,212.4090755,198.1576612
MTND4P21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.291462367,0.932512985,0.336691097,0.281992971
MTND4P22,0,0,0.48,0,0.29,1.91,0,0,0,0,0,0.31,0,0,0,0,0.360826952,0.390838168,0
MTND4P23,6.06,0,0.8,1.88,0.73,4.8,0,3.82,0,0.86,0,0,0,0.49,0.72,0,0.618938675,1.005626893,1.403758112
MTND4P24,0,0,0.87,0,1.09,18.22,0,1.69,5.95,0,0,0,5.95,0,0,88.01281258,13.8123103,40.2799588,11.56668397
MTND4P25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43588916
MTND4P26,9.12,0,0.4,0.94,1.21,0,0,0.35,0,0.58,0,0.26,0,0,0,0,1.551901056,1.344782394,0.28157797
MTND4P27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155763186,0,1.413088852
MTND4P28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988797057
MTND4P29,0,0,0.8,0,0,0,0,0.34,0,0.28,0,0,0,0,0.71,0,0,0.333010072,0.278909957
MTND4P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P30,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0
MTND4P31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P32,0.68,0,0.45,0,0.27,0,0,0.39,0,0.32,0,0.29,0,0,1.07,0,0.340991679,1.477412509,1.237395186
MTND4P33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P34,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.24,0,0.153831768,0,0
MTND4P35,1.2,0,0.79,0,0,1.58,0,0,0,0,0,0,0,0.49,0.24,0,2.147379599,7.642520599,6.679234232
MTND4P4,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P5,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278503975
MTND4P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.489333954,0,0
MTND4P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2757081,0,0.33545508,0
MTND4P9,0,0,0,0.32,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0.339442659,0
MTND5P1,0,18.34,1.59,0,0,0,0,0.69,0,0,0,1.27,0.51,0,0.24,0,0.306768514,9.303938121,4.452822821
MTND5P10,0,0,0,0.69,0.18,0,0,0,0,0,0,0,0,0.36,0,6.438379693,0.69951361,2.525648527,0.211533699
MTND5P11,12.69,13.79,4.14,3.61,1.8,12.35,15.87,6.61,0.64,3.61,5.49,7.22,7.92,3.64,4.32,282.8196854,24.32604905,85.22558424,32.52225553
MTND5P12,0,0,0,0,0,1.49,5.61,0,0.17,0.54,0,1.19,2.39,0.92,1.34,4.018988566,1.746611623,4.729708265,1.320443275
MTND5P13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND5P14,2.63,0,0.44,7.49,0,0.87,0,0.75,6.29,2.49,0,0.28,2.22,1.07,0.26,0,0.998753055,3.606075915,0.302024042
MTND5P15,0,0,2.63,0,0,0,0,14.62,0,1.69,0,1.74,0,0,2.83,0,0,0,0
MTND5P16,5.2,0,0.62,0,0.19,0,0,3.26,0,0.45,0,0.2,0,0.39,0.19,0,0.247684502,0.536570544,2.471702333
MTND5P17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.131567906,1.710130325,0.238717693
MTND5P18,0,0,0,0,0,0,0,0,0,0,8.19,0,0,1.09,0,0,0,0,0
MTND5P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.492212299,0.117560398,0.509353198,0
MTND5P2,0,0,0.98,0,0.29,0,0,0,0.71,2.45,0,0.63,0,0.6,1.76,0,0.369357887,2.000393251,1.005248147
MTND5P20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32394038,6.390067391,0
MTND5P21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875267851,0
MTND5P22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND5P23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476617748,0,0.216194611
MTND5P24,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0.36,0,0.477426946,0,0
MTND5P25,3.41,0,0,2.94,0.44,0,0,0,0,0.53,0,0,17.28,0.91,0.45,0,0,0.571827057,1.436787714
MTND5P26,4.12,0,0.6,0,0.92,0.6,0,0,0,1.3,0,0.77,0,0.75,0.91,0,0.481514506,3.129382318,0.873663153
MTND5P27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND5P28,2.03,0,0,1.32,0.61,1.34,16.82,0.29,5.82,1.93,0,0.43,0,0.41,0,0,0.793864568,2.00641702,0
MTND5P29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233429279,0,0
MTND5P3,0,0,0,0,0,0,0,0,0,0,0,4.86,0,0,0,0,0,0,0
MTND5P30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263945591,0
MTND5P31,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332525341,0
MTND5P32,0,0,0.59,0.23,0,0,1.47,0,0.85,0.21,0,0,4.12,0.36,0,6.463390047,0,4.817373224,1.911198752
MTND5P33,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0.315096427,0
MTND5P34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND5P35,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0
MTND5P4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,1.328696046
MTND5P40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND5P41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND5P5,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,1.25,0,0,0,0
MTND5P6,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND5P7,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND5P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75441262,0,0,0
MTND5P9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.636483683,0,0.260336079,0
MTND6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.223810562,0.883732724,0
MTND6P11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0
MTND6P14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15615792,0,0,0
MTND6P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.19906622,0,0,0.735893195
MTND6P17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22064438,0,0,0
MTND6P18,0,0,0,4.23,0,11.21,0,2.31,35.79,1.89,0,2.7,27.66,0,3.16,0,0,8.01561085,0.745934622
MTND6P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P21,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437558825,12.32275444,5.557367694
MTND6P22,0,0,0,1.2,1.52,0,0,0,0,0.93,21.12,0,0,3.94,0.78,78.24299621,5.262463715,22.80064353,4.40688439
MTND6P24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P3,7.59,0,2.56,0.98,0,0,0,0,0,0,0,2.49,7.99,2.29,6.88,75.21144101,24.51459644,23.60316405,5.648183929
MTND6P32,2.24,0,1.52,0,0.83,0,0,0,0,1.03,0,0,32.07,0,0.86,0,0.436652906,4.729708265,0
MTND6P33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P4,77.28,0,1.41,4.26,4.53,0,3.54,5.13,5.88,3.84,11.5,7.8,35.57,7.64,5.93,758.6187383,135.7538827,230.1954449,112.8933468
MTND6P5,8.23,59.47,0,5.3,0,0,0,1.16,0,7.57,0,0.9,0,3.2,4.75,0,4.531126735,8.03126634,0.747391526
MTND6P6,0,0,0,0,0,0,0,0,0,0,0,0,33.59,0,0,0,0,1.737223644,1.454997951
MTND6P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402487316,0,0
MTND6P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404029413,0,0
MTND6P9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880327203,0
MTNR1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.671823236
MTNR1B,0,0,0.34,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451249203,0
MTO1,31.08,2.13,3.76,2.35,1.66,7.18,2.49,4.56,0.78,7.53,10.03,3.82,23.8,5.03,4.84,1.929753768,1.659830883,2.081761247,2.567792342
MTOR,5.32,0,9.72,7.66,3.66,4.77,5.11,2.59,9.21,9.24,3.97,7.6,13.79,4.4,2.87,0.478789314,4.543013945,6.423428344,5.474275775
MTOR-AS1,0,0,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0,1.934893151,0,2.006104646
MTPAP,3,0,9.52,5.63,2.27,2.75,1.78,1.13,8.21,2.94,0,4.85,10.16,3.25,0.8,1.396358814,1.390682705,1.698067902,1.605713481
MTPN,21.33,0,3.76,26.71,21.08,35.52,9.99,6.79,37.21,16.47,17.47,21.61,16.03,10.83,10.16,0,13.94125816,16.42967089,8.296796885
MTR,9.37,4.45,1.4,6.57,3.12,13.6,8.27,5.56,8.47,5.01,4.61,4.5,9.38,5.21,4.18,3.770180097,10.8720107,14.30900378,7.215409846
MTRES1,3.17,0,2.71,3.19,1.54,2.62,0,2.73,0,2.44,0,4.8,2.49,0.79,5.3,2.538585193,2.206486698,4.979182851,4.170275297
MTRES1P1,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290500487,0,0
MTREX,29.15,7.28,15.87,20.65,6.92,16.65,8.97,9.23,20.48,12.46,52.92,22.1,82.84,22.55,12.71,2.752567086,7.144197417,13.38923999,5.245282516
MTRF1,3.78,0,2.58,3.59,1.65,0,0,2.57,1.22,5.93,0,4.71,5.78,1.97,1.91,0,1.317802782,5.590685099,2.988787773
MTRF1L,7.09,0,6.62,16.65,1.71,2.75,2.35,4.88,2.75,6.1,0,4.08,0.4,9.75,2.09,0,1.423364499,4.891070898,1.959185047
MTRF1LP1,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0.931826304,0,0
MTRF1LP2,1.51,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34105567
MTRFR,5.5,0,12.42,7.67,2.14,1.65,1.64,6.02,8.05,4.39,0,2.11,1.73,2.91,5.49,0.886244777,1.989957072,3.893749784,2.387649203
MTRR,3.52,56.12,15.38,18.77,5.44,3.82,4.56,5.66,0.91,7.28,0,21.74,43.3,20.05,7.94,1.792402103,1.557919509,5.414052942,11.13012976
MTSS1,22.51,8.63,9.79,26.61,18.3,6.49,4.67,17.13,40.43,16.76,24.46,17.09,17.54,19.62,7.6,0.748812451,6.318693759,11.45602605,14.56457252
MTSS2,3.82,117.11,6.03,4,4.18,23.12,81.69,7.4,21.91,1.7,2.96,17.38,23.63,8.03,10.18,4.671892846,2.11495541,4.856630641,8.902743181
MTTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.157656329,0,12.3575238,3.828062413
MTURN,19,0,13.45,1.04,3.02,23.02,7.55,4.91,16.16,5.4,0,6.26,3.74,6.37,3.05,1.832446329,8.229079872,13.94534688,1.806156991
MTUS1,4.38,55.84,1.55,8.35,10.54,16.97,20.84,9.39,2.53,5.15,0,8.18,55.49,17.79,10.45,0,2.774582003,15.86370144,10.32333767
MTUS2,0,0,0,0,0,0,2.92,0,0,0,0,0,0,0,0,4.827069393,0.274711295,0.541018139,1.359376416
MTUS2-AS1,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0
MTUS2-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99813868,0,0,0
