index,PIK3CA-0001,PIK3CA-0002,PIK3CA-0003,PIK3CA-0004,PIK3CA-0036,PIK3CA-0047,PIK3CA-1020,PIK3CA-1033,PIK3CA-1038,PIK3CA-1045,PIK3CA-1052,PIK3CA-1268,PIK3CA-1458,PIK3CA-1588,PIK3CA-2179,PIK3CA-1039,PIK3CA-1676,PIK3CA-1035,PIK3CA-1113
ABHD13,1.41,0,1.48,3.14,0.69,2.58,0.7,1.79,2.68,4.58,0,1.88,1.55,3.49,1.52,0,2.977178903,7.137559746,3.457160576
ABHD14A,0,0,3.74,0.73,0.54,20.92,6.99,2.41,0,0,0,1.37,0,1.3,0.64,2.448912713,1.241651366,1.729187706,1.448267515
ABHD14A-ACY1,0,0,1.28,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0
ABHD14B,9.9,0,16.84,16.32,2.61,15.13,9.85,2.98,15.88,5.81,5.41,5.06,10.77,3.22,4.54,40.53062876,3.736345396,7.660601195,5.205495676
ABHD15,1.75,0,2.8,6.28,0.79,3.62,0,1.46,1.82,1.93,0,2.22,8.8,1.4,0.34,5.003019272,2.355449824,7.981179532,3.287495371
ABHD15-AS1,0,0,12.71,0,4.13,0,0,0,0,0,0,8.79,0,0,0,0,0,0,2.046334017
ABHD16A,13.41,0,10.13,18.87,2.78,1.29,18.79,4.38,12.84,13.85,19.37,8.39,9.41,8.87,4.02,0,0.571553804,1.913556766,1.602684366
ABHD16B,0,11.63,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
ABHD17A,12.88,0,5.65,11.47,2.41,3.83,3.75,10.96,24.91,4.77,3.53,4.87,23.35,8.81,3.88,3.826224988,3.637459283,9.155807794,7.102674789
ABHD17AP1,7.08,0,6.26,0.5,0,0,0,1.07,0,0.68,0,0.47,0,2.42,0,6.24170893,2.260486104,4.407297284,4.511585288
ABHD17AP3,0,0,1.48,0.43,0,0,0,0,0,0.36,0,0,0,0,0,0,1.483928609,1.205514033,0.336556254
ABHD17AP4,0,0,0.87,0.66,0,0,1.6,0,0,0,0,0,0,0,0,0,1.392101343,4.523661569,2.946811033
ABHD17AP5,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,6.309333079,1.370986047,3.465036543,2.072938577
ABHD17AP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.578078958,1.212088239,2.625803554,2.565757882
ABHD17AP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767882048,0
ABHD17AP8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666662824
ABHD17AP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833740545,0
ABHD17B,1.27,0,3.57,1.54,0.24,1.67,0,0.17,0,2.07,0,0.27,0,0.94,0.59,0,0.851208816,1.134777568,2.494862988
ABHD17C,8.8,24.75,0,6.26,1.73,2.12,0,0,9.19,2.6,0,2.32,0,1.63,0.89,0,3.903459858,0.504850628,1.374209391
ABHD18,2.91,0,3,6.85,1.59,2.1,0,2.15,3.13,3.52,3.52,3.28,1.17,5.38,2.17,0,3.333197476,3.610430949,2.738615497
