"interaction","name","selected","shared interaction","shared name"
"interacts with","NOV (interacts with) VEGFA","false","interacts with","NOV (interacts with) VEGFA"
"interacts with","NAPRT1 (interacts with) VEGFA","false","interacts with","NAPRT1 (interacts with) VEGFA"
"interacts with","MATN2 (interacts with) VEGFA","false","interacts with","MATN2 (interacts with) VEGFA"
"interacts with","LYNX1 (interacts with) VEGFA","false","interacts with","LYNX1 (interacts with) VEGFA"
"interacts with","KHDRBS3 (interacts with) VEGFA","false","interacts with","KHDRBS3 (interacts with) VEGFA"
"interacts with","KCNV1 (interacts with) VEGFA","false","interacts with","KCNV1 (interacts with) VEGFA"
"interacts with","KCNS2 (interacts with) VEGFA","false","interacts with","KCNS2 (interacts with) VEGFA"
"interacts with","FBXO32 (interacts with) ERBB2","false","interacts with","FBXO32 (interacts with) ERBB2"
"interacts with","FBXO32 (interacts with) VEGFA","false","interacts with","FBXO32 (interacts with) VEGFA"
"interacts with","FAM135B (interacts with) VEGFA","false","interacts with","FAM135B (interacts with) VEGFA"
"interacts with","ENPP2 (interacts with) VEGFA","false","interacts with","ENPP2 (interacts with) VEGFA"
"interacts with","DEPDC6 (interacts with) VEGFA","false","interacts with","DEPDC6 (interacts with) VEGFA"
"interacts with","COX6C (interacts with) VEGFA","false","interacts with","COX6C (interacts with) VEGFA"
"interacts with","COL14A1 (interacts with) VEGFA","false","interacts with","COL14A1 (interacts with) VEGFA"
"interacts with","BAALC (interacts with) VEGFA","false","interacts with","BAALC (interacts with) VEGFA"
"interacts with","ANXA13 (interacts with) VEGFA","false","interacts with","ANXA13 (interacts with) VEGFA"
"interacts with","ANGPT1 (interacts with) VEGFA","false","interacts with","ANGPT1 (interacts with) VEGFA"
"interacts with","ADCY8 (interacts with) VEGFA","false","interacts with","ADCY8 (interacts with) VEGFA"
"interacts with","KIAA1549 (interacts with) CYP19A1","false","interacts with","KIAA1549 (interacts with) CYP19A1"
"interacts with","Vinorelbine (interacts with) TUBB","false","interacts with","Vinorelbine (interacts with) TUBB"
"interacts with","Trastuzumab (interacts with) ERBB2","false","interacts with","Trastuzumab (interacts with) ERBB2"
"interacts with","Taxane (interacts with) MAP4","false","interacts with","Taxane (interacts with) MAP4"
"interacts with","Taxane (interacts with) BCL2","false","interacts with","Taxane (interacts with) BCL2"
"interacts with","Letrozole (interacts with) CYP19A1","false","interacts with","Letrozole (interacts with) CYP19A1"
"interacts with","Gemcitabine (interacts with) CMPK1","false","interacts with","Gemcitabine (interacts with) CMPK1"
"interacts with","Exemestane (interacts with) CYP19A1","false","interacts with","Exemestane (interacts with) CYP19A1"
"interacts with","Etoposide (interacts with) TOP2A","false","interacts with","Etoposide (interacts with) TOP2A"
"interacts with","Erlotinib (interacts with) EGFR","false","interacts with","Erlotinib (interacts with) EGFR"
"interacts with","Epirubicin (interacts with) CHD1","false","interacts with","Epirubicin (interacts with) CHD1"
"interacts with","Epirubicin (interacts with) TOP2A","false","interacts with","Epirubicin (interacts with) TOP2A"
"interacts with","Doxorubicin (interacts with) TOP2A","false","interacts with","Doxorubicin (interacts with) TOP2A"
"interacts with","Dacarbazine (interacts with) PGD","false","interacts with","Dacarbazine (interacts with) PGD"
"interacts with","Cetuximab (interacts with) EGFR","false","interacts with","Cetuximab (interacts with) EGFR"
"interacts with","Celecoxib (interacts with) PDPK1","false","interacts with","Celecoxib (interacts with) PDPK1"
"interacts with","Celecoxib (interacts with) PTGS2","false","interacts with","Celecoxib (interacts with) PTGS2"
"interacts with","Camptothecin (interacts with) TOP1","false","interacts with","Camptothecin (interacts with) TOP1"
"interacts with","Bevacizumab (interacts with) VEGFA","false","interacts with","Bevacizumab (interacts with) VEGFA"
"interacts with","Anastrozole (interacts with) CYP19A1","false","interacts with","Anastrozole (interacts with) CYP19A1"
