"interaction","name","selected","shared interaction","shared name"
"interacts with","ARHGEF1 (interacts with) FAM83B","false","interacts with","ARHGEF1 (interacts with) FAM83B"
"interacts with","ARHGEF1 (interacts with) HIVEP1","false","interacts with","ARHGEF1 (interacts with) HIVEP1"
"interacts with","ARHGEF1 (interacts with) RBM12B","false","interacts with","ARHGEF1 (interacts with) RBM12B"
"interacts with","ARHGEF1 (interacts with) TMEM64","false","interacts with","ARHGEF1 (interacts with) TMEM64"
"interacts with","ARHGEF1 (interacts with) TOR1AIP2","false","interacts with","ARHGEF1 (interacts with) TOR1AIP2"
"interacts with","ARHGEF1 (interacts with) ZNF704","false","interacts with","ARHGEF1 (interacts with) ZNF704"
"interacts with","BAK1 (interacts with) CHRNA4","false","interacts with","BAK1 (interacts with) CHRNA4"
"interacts with","BAK1 (interacts with) DUXA","false","interacts with","BAK1 (interacts with) DUXA"
"interacts with","BAK1 (interacts with) EPS8","false","interacts with","BAK1 (interacts with) EPS8"
"interacts with","BAK1 (interacts with) MC3R","false","interacts with","BAK1 (interacts with) MC3R"
"interacts with","BAK1 (interacts with) NOV","false","interacts with","BAK1 (interacts with) NOV"
"interacts with","BAK1 (interacts with) OR1B1","false","interacts with","BAK1 (interacts with) OR1B1"
"interacts with","BAK1 (interacts with) RC3H2","false","interacts with","BAK1 (interacts with) RC3H2"
"interacts with","BAK1 (interacts with) SLC26A7","false","interacts with","BAK1 (interacts with) SLC26A7"
"interacts with","BAK1 (interacts with) SLITRK3","false","interacts with","BAK1 (interacts with) SLITRK3"
"interacts with","BAK1 (interacts with) SNTB1","false","interacts with","BAK1 (interacts with) SNTB1"
"interacts with","BAK1 (interacts with) SP3","false","interacts with","BAK1 (interacts with) SP3"
"interacts with","BAK1 (interacts with) TAS2R10","false","interacts with","BAK1 (interacts with) TAS2R10"
"interacts with","BAK1 (interacts with) ZFP28","false","interacts with","BAK1 (interacts with) ZFP28"
"interacts with","BMP8A (interacts with) RTN4","false","interacts with","BMP8A (interacts with) RTN4"
"interacts with","BMP8A (interacts with) SDCBP","false","interacts with","BMP8A (interacts with) SDCBP"
"interacts with","BMP8A (interacts with) TM4SF1","false","interacts with","BMP8A (interacts with) TM4SF1"
"interacts with","C11orf24 (interacts with) FAM135B","false","interacts with","C11orf24 (interacts with) FAM135B"
"interacts with","C11orf24 (interacts with) ITLN2","false","interacts with","C11orf24 (interacts with) ITLN2"
"interacts with","C11orf24 (interacts with) ITPKB","false","interacts with","C11orf24 (interacts with) ITPKB"
"interacts with","C11orf24 (interacts with) MR1","false","interacts with","C11orf24 (interacts with) MR1"
"interacts with","C11orf24 (interacts with) PTPRN2","false","interacts with","C11orf24 (interacts with) PTPRN2"
"interacts with","C11orf24 (interacts with) RNASEL","false","interacts with","C11orf24 (interacts with) RNASEL"
